,Name,club,Appearances,Wins,Losses,Clean sheets,Goals conceded,Tackles,Tackle success (%),Last man tackles,Blocked shots,Interceptions,Clearances,Headed clearances,Clearances off the line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goals,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Free-kicks scored,Shots,Shots on target,Shot accuracy,Hit the woodwork,Big chances missed,Yellow cards,Red cards,Fouls commited,Offsides,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy (%),Through balls,Accurate long balls
185,Alex Cochrane,"['Brighton and Hove Albion', 'Brighton and Hove Albion']",0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,0,0,0,0,0,0,0.00,0,0,0%,0,0
186,Jack Colback,['Newcastle United'],0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
187,Séamus Coleman,['Everton'],27,9,10,5,28,42,74%,0,2,24,36,20,0,118,128,78,38,29,20,0,1,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,3,1,19,1,1,824,30.52,2,43,7%,0,33
188,Will Collar,['Brighton and Hove Albion'],0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
189,Aaron Connolly,"['Brighton and Hove Albion', 'Brighton and Hove Albion', 'Brighton & Hove Albion', 'Brighton and Hove Albion']",24,7,11,No value,No value,7,No value,No value,13,0,3,2,No value,No value,No value,No value,No value,No value,No value,No value,No value,3,0.13,0,3,0,0,0,38,14,37%,0,5,0,0,16,14,1,146,6.08,1,9,No value,No value,No value
190,Theo Corbeanu,['Wolverhampton Wanderers'],0,0,0,No value,No value,0,No value,No value,0,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,No value,No value,No value
191,Jack Cork,['Burnley'],30,12,12,No value,No value,35,69%,No value,8,28,45,24,No value,171,140,195,26,56,69,No value,0,0,0.00,0,0,0,0,0,18,6,33%,0,1,1,0,33,1,0,923,30.77,2,6,17%,2,48
192,Paul Coutts,['Sheffield United'],0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
193,Conor Coventry,"['West Ham United', 'West Ham United', 'West Ham United', 'West Ham United U21', 'West Ham United U21']",0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
194,Martin Cranie,['Sheffield United'],0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,0,0,0,0,0,0,0.00,0,0,0%,0,0
195,Aaron Cresswell,['West Ham United'],31,8,17,5,51,43,60%,0,3,35,59,30,1,172,116,111,11,45,40,0,0,3,No value,0,1,2,No value,No value,No value,No value,No value,0,No value,7,0,16,2,0,"1,251",40.35,4,127,20%,0,67
196,Kane Crichlow,"['Watford', 'Watford', 'Watford']",0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
197,Andrew Crofts,['Brighton and Hove Albion'],0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
198,Peter Crouch,['Burnley'],0,0,0,No value,No value,0,No value,No value,0,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,No value,No value,No value
